1-Norm	Fuer \(\mathbb{R}^n:=\{(x_1,\dots,x_n)|x_i \in \mathbb{R}\} \) ist \[\|x\|_1 :=\sum \limits_{i=1} \limits^n |x_i|\] eine Norm auf dem \(\mathbb{R}^n\), genannt 1-Norm
Abgeschlossene Huelle	Die abgeschlossene Huelle \(\bar{M}\) von \(M\) ist abgeschlossen und besteht aus der Menge aller Beruehrpunkte von \(M\).
Abgeschlossene Menge in Metrischen Raeumen	Sei \((X,d)\) ein metrischer Raum, \(a \in X\) und \(T \subseteq X\). Dann hei\ss t \(T\) abgeschlossen, falls \(X\setminus T\) (das Komplement von \(T\) in \(X\)) offen ist.
Abschluss von Mengen in Metrischen Raeumen	 Sei \((X,d)\) ein metrischer Raum und \(T \subseteq X\). \[\overline{T}:=X \setminus (x \setminus T)^{\circ}\] hei\ss t Abscshluss oder abgeschlossene Huelle von \(T\).
Abstand von Mengen in Metrischen Raeumen	Sei \((X,d)\) ein metrischer Raum und \(A, B \subseteq X\). Dann hei\ss t \[d(A,B):=\inf\{d(a,b)|a \in A, b \in B\}\] der Abstand von \(A\) und \(B\).
Banachraum	Ein vollstaendiger normierter Raum hei\ss t Banachraum.
Beschraenkte Abbildung in Metrischen Raeumen	Sei \(X\) eine beliebige Menge und \((Y,d)\) ein metrischer Raum. Eine Abbildung \(f: X \rightarrow Y\) hei\ss t beschraenkt, falls \(f(X) \subseteq Y\) beschraenkt ist.
Beschraenkte Menge in Metrischen Raeumen	Sei \((X,d)\) ein metrischer Raum und sei \(A \subseteq X.\) Die Menge \(A\) hei\ss t beschraenkt, falls \(diam(A) < \infty\)
Charakterisierung Abgeschlossener Mengen bzgl. einer von einer Metrik induzierten Metrik in Metrischen Raeumen	Sei \((X,d)\) ein metrischer Raum, sowie \(T \subseteq X\) und sei \(d_{T}\) die durch \(d\) induzierte Metrik auf \(T\). Dann sind folgende Aussagen aequivalent: \begin{enumerate} \item \(V \subseteq T\) ist abgeschlossen bzgl. \(d_{T}.\) \item Es gibt eine bzgl. \(d\) abgeschlossene Menge \(U \subseteq X\), so dass \(V=T \cap U.\) \end{enumerate}
Charakterisierung Abgeschlossener Mengen in Metrischen Raeumen	Sei \((X,d)\) ein metrischer Raum und \(A \subseteq X\). Dann sind folgende Aussagen aequivalent: \begin{enumerate} \item \(A\) ist abgeschlossen \item \(A\) ist folgenabgeschlossen. \end{enumerate}
Charakterisierung Aequivalenter Normen in Vektorraeumen	Sei \(V\) ein \(\mathbb{R}\)-Vektorraum und seien \(\|\cdot\|_{1}\) und \(\|\cdot\|_{2}\) zwei Normen auf \(V\). Dann sind folgende Aussagen aequivalent: \begin{enumerate} \item Die Normen \(\|\cdot\|_{1}\) und \(\|\cdot\|_{2}\) sind aequivalent. \item Fuer alle \(U \subseteq V\) gilt: \(U\) ist genau dann offen bzgl. \(\|\cdot \|_{1}\) wenn \(U\) offen bzgl. \(\| \cdot \|_{2}\) ist. Die Abbildungen \(Id_{V}:(V,\|\cdot \|_{1}) \rightarrow (V,\|\cdot\|_{2})\) und \(Id_{V}:(V,\|\cdot \|_{2}) \rightarrow (V,\|\cdot \|_{1})\) sind stetig. \end{enumerate}
Charakterisierung Beschraenkter Mengen in Metrischen Raeumen	Sei \((X,d)\) ein metrischer Raum und \(A \subseteq X\) mit \(A \neq \emptyset.\) Dann sind folgende Aussagen aequivalent: \begin{enumerate} \item \(A\) ist beschraenkt. \item Es gibt \(x \in X\) und \(M \geq 0,\) so dass \(d(a,x) \leq M\) fuer alle \(a \in A\) gilt. \item Zu jedem \(x \in X\) gibt es ein \(M_{x} \geq 0\), so dass \(d(a,x)\leq M_{x}\) fuer alle \(a \in A\) gilt. \end{enumerate}
Charakterisierung Kompakter Mengen in Metrischen Raeumen	Sei \((X,d)\) ein metrischer Raum und \(A \subseteq T \subseteq X\), sowie \(d_{T}\) die durch \(d\) induzierte Metrik auf \(T\). Dann sind folgende Aussagen aequivalent: \begin{enumerate} \item \(A\) ist kompakt in \((X,d)\) \item \(A\) ist kompakt in \((T,d_{T})\) \end{enumerate}
Diskrete Metrik	Auf jeder Menge \( X \neq \emptyset \) wird durch \[ d(x,y)=\begin{cases} 1, & x \neq y \\ 0, & x=y\end{cases}\] eine Metrik festgelegt, die man \(Diskrete Metrik\) nennt.
Durch eine Metrik Induzierte Metrik	Sei \((X,d)\) ein metrischer Raum und \(Y \subseteq X\). Dann ist auch \(Y, d_{Y}\) mit \[d_{Y}(y_{1},y_{2})=d(y_{1},y_{2})\] fuer alle \(y_{1},y_{2}\) fuer alle \(y_{1},y_{2} \in Y\) ein metrischer Raum.Man nennt \(d_{Y}\) die durch \(d\) induzierte Metrik oder Spurmetrik auf \(Y\).
Durchmesser von Mengen in Metrischen Raeumen	Sei \((X,d)\) ein metrischer Raum und sei \(A \subseteq X.\) Dann hei\ss t \(diam(A):=sup\{d(a,\tilde{a})|a,\tilde{a} \in A\} \in \mathbb{R} \cup \{\infty\}\) fuer \(A \neq \emptyset\) bzw. \(diam(A):=0\) fuer \(A=\emptyset\) der Durchmesser von \(A\).
Eigenschaften Abgeschlossener Teilmengen von Kompakten Mengen in Metrischen Raeumen	Sei \((X,d)\) ein metrischer Raum, \(K \subseteq X\) kompakt und \(A \subseteq K\) abgeschlossen. Dann ist \(A\) kompakt.
Hausdorff-Eigenschaft	Ein topologischer Raum \(X\) hat die Hausdorff-Eigenschaft, wenn fuer alle \(x,y\in X\) mit \(x\neq y\) disjunkte offene Umgebungen \(U(x) \subseteq X\)  und \(V(y) \subseteq X \) existieren.
Hausdorff-Raum	Ein Hausdorff-Raum ist ein topologischer Raum \(M\) in dem die Hausdorff-Eigenschaft gilt.
Homoeomorphismus in Metrischen Raumen	Seien \(X,Y\) metrische Raeume. Dann hei\ss t eine Abbildung \(\phi: X \rightarrow Y\) Homoeomorphismus, falls \(\phi\) bijektiv und \(\phi^{-1}\) beide stetig sind.
Innerer Punkt	Sei \((X,d)\) ein metrischer Raum, \(a \in X\) und \(T \subseteq X.\) Dann hei\ss t a innerer Punkt von \(T\), falls es eine \(\epsilon\)-Umgebung von \(a\) gibt, die noch ganz in \(T\) enthalten ist, d.h. es gibt \(\epsilon > 0\), so dass \[U_{\epsilon}(a) \subseteq T.\]
Inneres	Sei \((X,d)\) ein metrischer Raum und \(T \subseteq X\). \(T^{\circ}:=\{x \in T | x \text{ ist innerer Punkt von } T \}\) hei\ss t offener Kern oder Inneres von \(T\).
Inneres \(\mathring{M}\) einer Teilmenge \(M\) des topologischen Raums	Das Innere \(\mathring{M}\) einer Teilmenge \(M\) des topologischen Raums ist offen und besteht aus der Menge aller inneren Punkte von \(M\).
Maximumsnorm	Fuer \(\mathbb{R}^n:=\{(x_1,\dots,x_n)|x_i \in \mathbb{R}\} \) ist \[\|x\|_\infty :=\max_{i=1,\dots,n} |x_i|,\] eine Norm auf dem \(\mathbb{R}^n\), genannt Maximumsnorm
Metrik	Eine \(Metrik\) auf einer Menge \(X\) ist eine Abbildung \( d:X \times X \rightarrow \mathbb{R}\) mit folgenden Eigenschaften:\begin{eqnarray*} (i) \ d(x,y) & \geq & 0 \ und \ d(x,y)=0 \ genau \ dann, wenn \ x=y \\ (ii) \ d(x,y) & = & d(y,x) \\ (iii) \ d(x,y) & \leq & d(x,z)+d(z,y) \end{eqnarray*} fuer alle \( x,y,z \in X. \)
Metrischer Raum	Sei \(X\) eine Menge und \(d\) eine Metrik auf \(X\). Dann heisst \(X\) zusammen mit der Metrik \(d\) \(metrischer Raum\).
Norm	Eine \(Norm\) auf einem reellen Vektorraum \(V\) ist eine Abbildung \(\| \cdot \|\): \(V \rightarrow \mathbb{R}\) mit folgenden Eigenschaften:\begin{eqnarray*} (i) \ \|x\| & \geq & 0 \text{ und } \|x\|=0 \text{ genau dann, wenn } x=y, \\(ii) \|\lambda\| & = & |\lambda|\|x\|, \\(iii) \ \|x+y\| & \leq & \|x\|+\|y\| \end{eqnarray*} fuer alle \( x,y,z \in V\) und alle  \(\lambda \in \mathbb{R}\).
Norm Induzierte Metrik	Fuer jede Norm \(\| \cdot \|\) auf einem reellen Vektorraum \(V\) wird durch \[d(x,y):=\|x-y\| \] eine Metrik festgelegt, die von dieser Norm induzierte Metrik.
Offen	Sei \((X,d)\) ein metrischer Raum, \(a \in X\) und \(T \subseteq X\). Dann hei\ss t \(T\) offen falls jedes \(x \in T\) ein innerer Punkt von \(T\) ist.
Offene Ueberdeckung	Sei \((X,d)\) ein metrischer Raum und \(A \subseteq X\). Eine Familie \((U_{i})_{i \in I}\) von Mengen \(U_{i} \subseteq X\) hei\ss t offene Ueberdeckung von \(A\), falls: \[A \subseteq \bigcup_{i \in I} U_{i}\]
Offener Kern	Sei \((X,d)\) ein metrischer Raum und \(T \subseteq X\). \(T^{\circ}:=\{x \in T | x \text{ ist innerer Punkt von } T \}\) hei\ss t offener Kern oder Inneres von \(T\).
Operatornorm	Seien \(V, W\) normierte Raeume, wobei \(\dim{V} < \infty.\) Dann wird durch \[\|f\|:=\sup_{v \neq 0}{\frac{\|f(v)\|}{\|v\|}}\] eine Norm auf \(L(V,W)\) definiert, die sogenannte Operatornorm bzgl. der Normen in \(V\) und \(W\).
Rand	Der Rand \(\delta M \) von \(M\) ist abgeschlossen und besteht aus der Menge aller Beruehrpunkte von M, die keine inneren Punkte von \(M\) sind.
Spurmetrik in Metrischen Raeumen	Sei \((X,d)\) ein metrischer Raum und \(Y \subseteq X\). Dann ist auch \(Y, d_{Y}\) mit \[d_{Y}(y_{1},y_{2})=d(y_{1},y_{2})\] fuer alle \(y_{1},y_{2}\) fuer alle \(y_{1},y_{2} \in Y\) ein metrischer Raum.Man nennt \(d_{Y}\) die durch \(d\) induzierte Metrik oder Spurmetrik auf \(Y\).
Topologie	Eine Menge T von Teilmengen einer Menge \(X\) hei\ss t Topologie auf \(X\) und \(X\) zusammen mit dieser Menge T ein topologischer Raum, wenn fuer die Elemente von T, die offenen Mengen, folgendes gilt: \begin{enumerate} \item Die leere Menge und \(X\) selbst sind offen \item Der Durchschnitt endlich vieler offener Mengen ist offen. \item Die Vereinigung beliebig vieler offener Mengen ist offen. \end{enumerate}
Topologischer Raum	Eine Menge T von Teilmengen einer Menge \(X\) hei\ss t Topologie auf \(X\) und \(X\) zusammen mit dieser Menge T ein topologischer Raum, wenn fuer die Elemente von T, die offenen Mengen, folgendes gilt: \begin{enumerate} \item Die leere Menge und \(X\) selbst sind offen \item Der Durchschnitt endlich vieler offener Mengen ist offen. \item Die Vereinigung beliebig vieler offener Mengen ist offen.\end{enumerate}
Vollstaendiger Metrischer Raum	Sei \((X,d)\) ein metrischer Raum. \((X,d)\) hei\ss t vollstaendig, falls jede Cauchy-Folge in \((X,d)\) konvergent ist.
Weg in Metrischen Raeumen	Sei \((X,d)\) ein metrischer Raum. Dann hei\ss t eine stetige Abbildung \(f: [0,1] \rightarrow X\) hei\ss t Weg in \(X.\)
Wegzusammenhaengende Menge in Metrischen Raeumen	Sei \((X,d)\) ein metrischer Raum. Dann hei\ss t \((X,d)\) wegzusammenhaengend, falls es zu je zwei Elementen \(x,y \in X\) einen Weg \(f\) in \(X\) gibt, so dass \(f(0)=x\) und \(f(1)=y\).
Zusammenhaenge Abschluss/Offener Kern/Rand	Sei \((X,d)\) ein metrischer Raum und \(T \subseteq X\). Dann gilt: \begin{enumerate} \item \(T^{\circ} \subseteq T \subseteq \overline{T}\) \item \(T^{\circ}=T \setminus \partial T\) \item \(\overline{T} = T \cup \partial T\) \item \(T\) offen \(\Leftrightarrow T=T^{\circ}\) \item \(T\) abgeschlossen \(\Leftrightarrow T=\overline{T}\) \item \(\partial T = \partial(X\setminus T)\) \item \(T \cup \partial T=\overline{T}\)\end{enumerate}
Zusammenhaengende Menge in Metrischen Raeumen	Sei \((X,d)\) ein metrischer Raum. Dann hei\ss t \(X\) zusammenhaengend, falls fuer alle offenen Teilmengen \(U,V \subseteq X\) gilt: \[U \cup V = X \text{ und } U \cap V = \emptyset \quad \Rightarrow \quad U = \emptyset \text{ oder } V = \emptyset.\]
Zusammenhaengende Teilmenge in Metrischen Raeumen	Sei \((X,d)\) ein metrischer Raum. Eine Teilmenge \(T \subseteq X\) hei\ss t zusammenhaengend, falls \((T,d_{T})\) zusammenhaengend ist, wobei \(d_{T}\) die durch \(d\) induzierte Metrik auf \(T\) bezeichnet.
\(\epsilon\)-Umgebung in Metrischen Raeumen	Sei \((X,d)\) ein metrischer Raum \(a \in C\) und \(T \subseteq X\). Sei \(\epsilon > 0.\) Dann hei\ss t \[U_{\epsilon}(a):={x \in X|d(a,x)<x}\] \(\epsilon\)-Umgebung von \(a\) (oder auch offene Kugel um \(a\) mit Radius \(\epsilon\))
\((\epsilon / \delta\)-Kriterium) in Metrischen Raeumen	Seien \((X, d_{X})\) und \((Y,d_{Y}\) metrische Raeume, sei \(f: X \rightarrow Y\) eine Abbildung und sei \(a \in X\). Dann sind folgende Aussagen aequivalent: \begin{enumerate} \item \(f\) ist stetig in \(a\). \item Zu jedem \(\epsilon > 0\) gibt es ein \(\delta > 0\), so dass fuer alle \(x \in X\) gilt: \[d_{X}(x,a)<\delta \quad \Rightarrow \quad d_{Y}(f(x),f(a)) < \epsilon\] \item Zu jedem \(\epsilon > 0\) gibt es ein \(\delta > 0\), so dass: \[f(U_{\delta}(a)) \subseteq U_{\epsilon}(f(a)).\] \end{enumerate}
\(p\)-Norm	Fuer alle \(p > 1\) ist durch den Ausdruck \[\|x\|_{p}:= \Big( \sum_{i=1}^{n}|x_{i}|^{p}\Big) ^{\frac{1}{p}}\] eine Norm auf dem \(\mathbb{R}^{n}\) gegeben, die sogenannte \(p\)-Norm.
